#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14], DroneTime[15]
4468, 5725.75, -1, 65, -0.0126885, 0.0114668, 2.06698, -0.0555864, -0.0410795, -0.121839, 0.140079, 0.825, 2044, 2044, 2472, 731997234
4469, 5751.48, -1, 65, -0.0137532, 0.0117286, 2.06703, -0.0504276, -0.0375439, -0.133293, 0.147376, 0.823, 2088, 2064, 2472, 732017284
4470, 5783.03, -1, 65, -0.0153938, 0.0117286, 2.06708, -0.0510502, -0.0397587, -0.151168, 0.164434, 0.818, 1952, 1980, 2504, 732047374
4471, 5811.09, -1, 65, -0.0169471, 0.0119381, 2.06726, -0.050636, -0.042815, -0.172467, 0.184775, 0.812, 2108, 2076, 2492, 732072368
4472, 5846.97, -1, 65, -0.0199142, 0.0117286, 2.06745, -0.0469351, -0.0416562, -0.177815, 0.188564, 0.803, 1968, 1996, 2552, 732117717
4473, 5872.03, -1, 65, -0.020944, 0.0112748, 2.06766, -0.0423555, -0.0305872, -0.192923, 0.199872, 0.797, 1952, 2004, 2548, 732137890
4474, 5902.64, -1, 65, -0.021869, 0.010664, 2.06781, -0.042666, -0.0259851, -0.180926, 0.187696, 0.791, 2028, 2032, 2572, 732167980
4475, 5938.44, -1, 65, -0.0223402, 0.00970403, 2.06797, -0.0433704, -0.0273875, -0.171629, 0.17913, 0.785, 2116, 2060, 2552, 732198436
4476, 5969.35, -1, 65, -0.0217293, 0.00862193, 2.06825, -0.0458513, -0.0234788, -0.161751, 0.169756, 0.778, 2108, 2056, 2564, 732233226
4477, 5998.21, -1, 65, -0.0211185, 0.00877901, 2.06822, -0.0413183, -0.0119879, -0.161882, 0.167501, 0.772, 1964, 2008, 2556, 732258617
4478, 6026.64, -1, 65, -0.0209963, 0.00914553, 2.06828, -0.0419408, -0.00946332, -0.141523, 0.14791, 0.767, 2020, 2076, 2580, 732288402
